Site Name	Purpose	Culture	Location type	Water type	Capacity	Lat	Long
ENGESUND FISKEOPPDRETT AS	KOMMERSIELL	Sukkertare	SJØ	SALTVANN	1560 TN	60.742150	5.344317
ENGESUND FISKEOPPDRETT AS	KOMMERSIELL	Stortare	SJØ	SALTVANN	1560 TN	60.742150	5.344317
ENGESUND FISKEOPPDRETT AS	KOMMERSIELL	Butare	SJØ	SALTVANN	1560 TN	60.742150	5.344317
ENGESUND FISKEOPPDRETT AS	KOMMERSIELL	Sukkertare	SJØ	SALTVANN	3120 TN	60.807833	5.294600
ENGESUND FISKEOPPDRETT AS	KOMMERSIELL	Butare	SJØ	SALTVANN	3120 TN	60.807833	5.294600
ENGESUND FISKEOPPDRETT AS	KOMMERSIELL	Fingertare	SJØ	SALTVANN	3120 TN	60.807833	5.294600
ENGESUND FISKEOPPDRETT AS	KOMMERSIELL	Stortare	SJØ	SALTVANN	3120 TN	60.807833	5.294600
Stangeland  Bjarne  Kristoffer	KOMMERSIELL	Fingertare	SJØ	SALTVANN	2 DA	59.641200	5.370150
Stangeland  Bjarne  Kristoffer	KOMMERSIELL	Sukkertare	SJØ	SALTVANN	2 DA	59.641200	5.370150
Stangeland  Bjarne  Kristoffer	KOMMERSIELL	Butare	SJØ	SALTVANN	2 DA	59.641200	5.370150
LERØY VEST AS	KOMMERSIELL	Sukkertare	LAND	SALTVANN	10 TN	60.054750	5.432250
LERØY VEST AS	KOMMERSIELL	Butare	LAND	SALTVANN	10 TN	60.054750	5.432250
LERØY VEST AS	KOMMERSIELL	Fingertare	LAND	SALTVANN	10 TN	60.054750	5.432250
LERØY VEST AS	KOMMERSIELL	Sukkertare	SJØ	SALTVANN	120 DA	60.070150	5.443817
LERØY VEST AS	KOMMERSIELL	Fingertare	SJØ	SALTVANN	120 DA	60.070150	5.443817
LERØY VEST AS	KOMMERSIELL	Butare	SJØ	SALTVANN	120 DA	60.070150	5.443817
SCALPRO AS	KOMMERSIELL	Bladtare	SJØ	SALTVANN	15 DA	60.518467	4.907567
SCALPRO AS	KOMMERSIELL	Butare	SJØ	SALTVANN	15 DA	60.518467	4.907567
SCALPRO AS	KOMMERSIELL	Grønlandsbutare	SJØ	SALTVANN	15 DA	60.518467	4.907567
SCALPRO AS	KOMMERSIELL	Draugtare	SJØ	SALTVANN	15 DA	60.518467	4.907567
SCALPRO AS	KOMMERSIELL	Fingertare	SJØ	SALTVANN	15 DA	60.518467	4.907567
SCALPRO AS	KOMMERSIELL	Stortare	SJØ	SALTVANN	15 DA	60.518467	4.907567
SCALPRO AS	KOMMERSIELL	Sukkertare	SJØ	SALTVANN	15 DA	60.518467	4.907567
SCALPRO AS	KOMMERSIELL	Bladtare	SJØ	SALTVANN	25 DA	60.518320	4.914640
SCALPRO AS	KOMMERSIELL	Butare	SJØ	SALTVANN	25 DA	60.518320	4.914640
SCALPRO AS	KOMMERSIELL	Grønlandsbutare	SJØ	SALTVANN	25 DA	60.518320	4.914640
SCALPRO AS	KOMMERSIELL	Draugtare	SJØ	SALTVANN	25 DA	60.518320	4.914640
SCALPRO AS	KOMMERSIELL	Fingertare	SJØ	SALTVANN	25 DA	60.518320	4.914640
SCALPRO AS	KOMMERSIELL	Stortare	SJØ	SALTVANN	25 DA	60.518320	4.914640
SCALPRO AS	KOMMERSIELL	Sukkertare	SJØ	SALTVANN	25 DA	60.518320	4.914640
SCALPRO AS	KOMMERSIELL	Bladtare	SJØ	SALTVANN	22 DA	60.516300	4.917900
SCALPRO AS	KOMMERSIELL	Butare	SJØ	SALTVANN	22 DA	60.516300	4.917900
SCALPRO AS	KOMMERSIELL	Grønlandsbutare	SJØ	SALTVANN	22 DA	60.516300	4.917900
SCALPRO AS	KOMMERSIELL	Draugtare	SJØ	SALTVANN	22 DA	60.516300	4.917900
SCALPRO AS	KOMMERSIELL	Fingertare	SJØ	SALTVANN	22 DA	60.516300	4.917900
SCALPRO AS	KOMMERSIELL	Stortare	SJØ	SALTVANN	22 DA	60.516300	4.917900
SCALPRO AS	KOMMERSIELL	Sukkertare	SJØ	SALTVANN	22 DA	60.516300	4.917900
OCEAN FOREST AS	KOMMERSIELL	Butare	SJØ	SALTVANN	20 DA	60.509233	4.925217
OCEAN FOREST AS	KOMMERSIELL	Fingertare	SJØ	SALTVANN	20 DA	60.509233	4.925217
OCEAN FOREST AS	KOMMERSIELL	Sukkertare	SJØ	SALTVANN	20 DA	60.509233	4.925217
OCEAN FOREST AS	KOMMERSIELL	Butare	SJØ	SALTVANN	4680 TN	60.509333	4.931700
OCEAN FOREST AS	KOMMERSIELL	Fingertare	SJØ	SALTVANN	4680 TN	60.509333	4.931700
OCEAN FOREST AS	KOMMERSIELL	Sukkertare	SJØ	SALTVANN	4680 TN	60.509333	4.931700
OCEAN FOREST AS	KOMMERSIELL	Butare	SJØ	SALTVANN	20 DA	60.505700	4.930200
OCEAN FOREST AS	KOMMERSIELL	Fingertare	SJØ	SALTVANN	20 DA	60.505700	4.930200
OCEAN FOREST AS	KOMMERSIELL	Sukkertare	SJØ	SALTVANN	20 DA	60.505700	4.930200
MØREFORSKING AS	KOMMERSIELL	Andre brunalger	LAND	FERSKVANN/SALTVANN	151 TN	62.465471	6.096801
MØREFORSKING AS	KOMMERSIELL	Sukkertare	LAND	FERSKVANN/SALTVANN	151 TN	62.465471	6.096801
MØREFORSKING AS	KOMMERSIELL	Stortare	LAND	FERSKVANN/SALTVANN	151 TN	62.465471	6.096801
MØREFORSKING AS	KOMMERSIELL	Fingertare	LAND	FERSKVANN/SALTVANN	151 TN	62.465471	6.096801
MØREFORSKING AS	KOMMERSIELL	Butare	LAND	FERSKVANN/SALTVANN	151 TN	62.465471	6.096801
MØREFORSKING AS	KOMMERSIELL	Grønlandsbutare	LAND	FERSKVANN/SALTVANN	151 TN	62.465471	6.096801
MØREFORSKING AS	KOMMERSIELL	Draugtare	LAND	FERSKVANN/SALTVANN	151 TN	62.465471	6.096801
MØREFORSKING AS	KOMMERSIELL	Andre grønnalger	LAND	FERSKVANN/SALTVANN	151 TN	62.465471	6.096801
MØREFORSKING AS	KOMMERSIELL	Andre brunalger	LAND	FERSKVANN/SALTVANN	151 TN	62.465471	6.096801
MØREFORSKING AS	KOMMERSIELL	Sukkertare	LAND	FERSKVANN/SALTVANN	151 TN	62.465471	6.096801
MØREFORSKING AS	KOMMERSIELL	Stortare	LAND	FERSKVANN/SALTVANN	151 TN	62.465471	6.096801
MØREFORSKING AS	KOMMERSIELL	Fingertare	LAND	FERSKVANN/SALTVANN	151 TN	62.465471	6.096801
MØREFORSKING AS	KOMMERSIELL	Butare	LAND	FERSKVANN/SALTVANN	151 TN	62.465471	6.096801
MØREFORSKING AS	KOMMERSIELL	Grønlandsbutare	LAND	FERSKVANN/SALTVANN	151 TN	62.465471	6.096801
MØREFORSKING AS	KOMMERSIELL	Draugtare	LAND	FERSKVANN/SALTVANN	151 TN	62.465471	6.096801
MØREFORSKING AS	KOMMERSIELL	Andre rødalger	LAND	FERSKVANN/SALTVANN	151 TN	62.465471	6.096801
MØREFORSKING AS	KOMMERSIELL	Andre grønnalger	LAND	FERSKVANN/SALTVANN	151 TN	62.465471	6.096801
SØYSETH  BJØRN ARILD	KOMMERSIELL	Sukkertare	SJØ	SALTVANN	200 DA	63.245767	8.202117
SØYSETH  BJØRN ARILD	KOMMERSIELL	Butare	SJØ	SALTVANN	200 DA	63.245767	8.202117
NORDI OCEAN AS	KOMMERSIELL	Sukkertare	SJØ	SALTVANN	80 DA	62.538167	6.102650
NORDI OCEAN AS	KOMMERSIELL	Fingertare	SJØ	SALTVANN	80 DA	62.538167	6.102650
NORDI OCEAN AS	KOMMERSIELL	Butare	SJØ	SALTVANN	80 DA	62.538167	6.102650
TANGO SEAWEED AS	KOMMERSIELL	Sukkertare	SJØ	SALTVANN	750 TN	62.316000	5.740750
TANGO SEAWEED AS	KOMMERSIELL	Fingertare	SJØ	SALTVANN	750 TN	62.316000	5.740750
TANGO SEAWEED AS	KOMMERSIELL	Butare	SJØ	SALTVANN	750 TN	62.316000	5.740750
TANGO SEAWEED AS	KOMMERSIELL	Sukkertare	SJØ	SALTVANN	2300 TN	62.227800	5.827450
TANGO SEAWEED AS	KOMMERSIELL	Fingertare	SJØ	SALTVANN	2300 TN	62.227800	5.827450
TANGO SEAWEED AS	KOMMERSIELL	Butare	SJØ	SALTVANN	2300 TN	62.227800	5.827450
TANGO SEAWEED AS	KOMMERSIELL	Bladtare	SJØ	SALTVANN	2300 TN	62.227800	5.827450
ALGEA AS	KOMMERSIELL	Sukkertare	SJØ	SALTVANN	45 DA	63.034500	7.835150
ALGEA AS	KOMMERSIELL	Butare	SJØ	SALTVANN	45 DA	63.034500	7.835150
LAMINARIA AS	KOMMERSIELL	Sukkertare	SJØ	SALTVANN	80 DA	63.209833	7.563767
LAMINARIA AS	KOMMERSIELL	Fingertare	SJØ	SALTVANN	80 DA	63.209833	7.563767
LAMINARIA AS	KOMMERSIELL	Butare	SJØ	SALTVANN	80 DA	63.209833	7.563767
MØRE OG ROMSDAL FYLKESKOMMUNE	KOMMERSIELL	Sukkertare	SJØ	SALTVANN	70 DA	63.182433	7.653750
MØRE OG ROMSDAL FYLKESKOMMUNE	KOMMERSIELL	Butare	SJØ	SALTVANN	70 DA	63.182433	7.653750
SEAFOREST AS	KOMMERSIELL	Sukkertare	SJØ	SALTVANN	100 DA	62.755383	6.499133
SEAFOREST AS	KOMMERSIELL	Fingertare	SJØ	SALTVANN	100 DA	62.755383	6.499133
SEAFOREST AS	KOMMERSIELL	Butare	SJØ	SALTVANN	100 DA	62.755383	6.499133
AKVATIK AS	KOMMERSIELL	Fingertare	SJØ	SALTVANN	50 DA	67.377417	14.581083
AKVATIK AS	KOMMERSIELL	Butare	SJØ	SALTVANN	50 DA	67.377417	14.581083
AKVATIK AS	KOMMERSIELL	Sukkertare	SJØ	SALTVANN	50 DA	67.377417	14.581083
SALTEN ALGAE AS	KOMMERSIELL	Butare	SJØ	SALTVANN	350 DA	67.239033	14.835217
SALTEN ALGAE AS	KOMMERSIELL	Fingertare	SJØ	SALTVANN	350 DA	67.239033	14.835217
SALTEN ALGAE AS	KOMMERSIELL	Sukkertare	SJØ	SALTVANN	350 DA	67.239033	14.835217
